PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,MIN,PTS,REB,AST,STL,BLK,TOV,FG_PCT,FG3_PCT,FT_PCT,OREB,DREB,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE,POSITION
1629599,Amir Coffey,LAC,28.0,72,24.3,9.7,2.2,1.1,0.6,0.1,0.6,0.471,0.409,0.891,0.4,1.8,109.1,110.6,-1.4,0.065,1.71,11.2,0.019,0.072,0.046,6.6,0.57,0.614,0.15,99.23,0.072,
203083,Andre Drummond,PHI,31.0,40,18.8,7.3,7.8,0.9,1.0,0.5,1.4,0.5,0.15,0.622,2.7,5.0,103.4,118.9,-15.5,0.07,0.62,9.4,0.134,0.288,0.205,15.2,0.506,0.535,0.183,98.83,0.109,
1641748,Andre Jackson Jr.,MIL,23.0,67,14.6,3.4,2.7,1.2,0.5,0.2,0.9,0.477,0.395,0.5,1.0,1.7,110.6,112.1,-1.5,0.109,1.43,23.8,0.066,0.114,0.091,16.6,0.553,0.554,0.115,101.48,0.051,
1629614,Andrew Nembhard,IND,25.0,65,28.9,10.0,3.3,5.0,1.2,0.2,1.7,0.458,0.291,0.794,0.5,2.8,115.5,110.2,5.3,0.225,2.91,31.4,0.018,0.093,0.057,10.8,0.506,0.545,0.163,101.31,0.081,
203952,Andrew Wiggins,MIA,30.0,60,30.7,18.0,4.5,2.6,1.0,0.8,1.7,0.448,0.374,0.763,1.5,3.0,109.4,111.7,-2.3,0.137,1.6,13.1,0.045,0.095,0.069,8.2,0.526,0.566,0.238,99.96,0.105,
1629014,Anfernee Simons,POR,26.0,70,32.7,19.3,2.7,4.8,0.9,0.1,2.0,0.426,0.363,0.902,0.4,2.3,108.8,113.4,-4.6,0.241,2.36,20.1,0.01,0.069,0.039,8.5,0.521,0.557,0.241,99.72,0.106,
1641710,Anthony Black,ORL,21.0,78,24.2,9.4,2.9,3.1,1.1,0.6,1.8,0.423,0.318,0.761,0.7,2.3,106.2,107.1,-0.9,0.201,1.73,22.2,0.026,0.1,0.061,12.8,0.473,0.521,0.19,97.83,0.084,
203076,Anthony Davis,DAL,32.0,51,33.4,24.7,11.6,3.5,1.2,2.2,2.2,0.516,0.282,0.775,2.6,8.9,113.3,112.9,0.5,0.182,1.6,13.3,0.083,0.254,0.173,8.3,0.536,0.588,0.301,98.83,0.179,
1630162,Anthony Edwards,MIN,23.0,79,36.3,27.6,5.7,4.5,1.2,0.6,3.2,0.447,0.395,0.837,0.8,4.9,116.2,111.4,4.8,0.209,1.44,14.8,0.021,0.131,0.077,10.3,0.547,0.595,0.307,98.27,0.14,
1630264,Anthony Gill,WAS,32.0,51,7.8,2.5,1.3,0.3,0.2,0.0,0.2,0.489,0.323,0.66,0.4,0.9,101.9,109.7,-7.8,0.059,1.6,11.9,0.042,0.111,0.077,7.4,0.545,0.586,0.124,101.23,0.071,
